Country,Clicks,Impressions,CTR,Position
Germany,9,476,1.89%,22.64
Canada,4,62,6.45%,17.9
United States,2,463,0.43%,21.45
France,2,132,1.52%,36.99
Austria,2,40,5%,15.8
Spain,1,84,1.19%,25.14
Switzerland,1,22,4.55%,29.95
Chile,1,15,6.67%,31.53
Egypt,1,1,100%,4
United Kingdom,0,65,0%,26.09
Mexico,0,32,0%,26.16
India,0,24,0%,47.79
United Arab Emirates,0,21,0%,8.71
Australia,0,20,0%,17
Philippines,0,19,0%,19.89
Colombia,0,13,0%,48.54
Belgium,0,12,0%,6.75
Argentina,0,11,0%,33.91
Indonesia,0,9,0%,43.89
Turkey,0,8,0%,46.88
Italy,0,7,0%,8.14
Netherlands,0,7,0%,16.29
Algeria,0,7,0%,51
Peru,0,6,0%,14.67
Morocco,0,6,0%,46.17
Ecuador,0,5,0%,19.2
Saudi Arabia,0,5,0%,22
Russia,0,5,0%,27.6
Slovakia,0,4,0%,8
Sweden,0,4,0%,8.5
Pakistan,0,4,0%,55
Venezuela,0,3,0%,6.67
Guatemala,0,3,0%,8
New Zealand,0,3,0%,17.67
Thailand,0,3,0%,24.33
Bangladesh,0,3,0%,28.67
Brazil,0,3,0%,51
Vietnam,0,3,0%,61.67
Jordan,0,3,0%,72.33
Japan,0,2,0%,3.5
Greece,0,2,0%,4.5
Hong Kong,0,2,0%,5.5
Ireland,0,2,0%,7.5
Puerto Rico,0,2,0%,7.5
Poland,0,2,0%,8.5
Slovenia,0,2,0%,9
South Korea,0,2,0%,39
Rwanda,0,2,0%,51
Malaysia,0,2,0%,54.5
Bolivia,0,1,0%,4
China,0,1,0%,4
French Guiana,0,1,0%,5
Yemen,0,1,0%,5
Haiti,0,1,0%,6
Lebanon,0,1,0%,6
Luxembourg,0,1,0%,7
Czechia,0,1,0%,8
Croatia,0,1,0%,8
Norway,0,1,0%,8
Mozambique,0,1,0%,9
Belarus,0,1,0%,10
Iran,0,1,0%,10
Kenya,0,1,0%,10
Nicaragua,0,1,0%,11
Portugal,0,1,0%,11
Bulgaria,0,1,0%,12
Iraq,0,1,0%,32
South Africa,0,1,0%,36
Cuba,0,1,0%,59
Dominican Republic,0,1,0%,72
